tmass_id,sobject_id,dr3_source_id,flag_sp,teff,e_teff,logg,e_logg,fe_h,e_fe_h,flag_fe_h,snr_c2_iraf
08523307+1145241,160107004101319,604902682868787584,0,6128.769,127.1804875509928,4.23892,0.19104633162928739,-0.05494404,0.16944267997793552,0,11.6565168779
08524649+1148579,160107004101320,604926494167460352,4,5466.9253,161.57066501966492,4.241293,0.21185194111988223,0.15197563,0.1868501931684712,0,7.59395302442
08523026+1142505,160107004101321,604901957018617728,0,5867.1963,140.1879348719385,4.250789,0.20055820723831758,-0.060949326,0.1601593364689113,0,11.6040615422
08524165+1143286,160107004101322,604901652076632960,4,5175.9854,188.77012512397144,3.6606407,0.23690602920875295,-0.23375845,0.16626027330079754,0,9.76801894134
08531254+1154057,160107004101323,604929036788082816,4,5584.673,206.99024593820147,4.614221,0.2175858637060257,0.3064022,0.2230962975230621,0,5.78131161754
08530772+1148129,160107004101325,604925875692160640,0,6168.46,122.71164990806686,4.268421,0.19199154060935023,-0.055658817,0.14996981349902197,0,14.3468398151
08531807+1152136,160107004101326,604928383953053568,0,4779.7617,179.39215520435536,2.3915255,0.27550193845972765,-0.27396297,0.14695030769022574,0,11.3605142738
08514851+1125375,160107004101328,604701953276603520,0,6004.5728,96.02454881079807,3.9772813,0.18821997195563217,-0.028859138,0.09596141026812366,0,28.4291411467
08525590+1142121,160107004101329,604713738666938240,0,6132.4883,132.61388010022335,4.0287275,0.19685531995883,-0.46844625,0.20212421953393594,0,12.956581011
08534231+1155217,160107004101330,604934156389089920,4,5473.0317,234.1451887383052,4.5118446,0.2326259161289545,0.42927313,0.20750114358861538,0,4.72135273724
08520906+1128016,160107004101333,604703941846497280,0,6027.075,109.77923476266855,4.0665817,0.18739238386359303,-0.04774618,0.1227058150000745,0,19.9382305479
08524347+1136497,160107004101334,604711299125433216,0,5046.3877,152.55432568531876,4.514247,0.20394433360759398,-0.24041939,0.13221372713446822,0,14.2069121153
08523075+1129056,160107004101335,604703499464932736,4,5925.022,168.59337298284527,4.4160466,0.2095371892653707,0.19064283,0.18387153176250765,0,8.31955259364
08533471+1141585,160107004101336,604736381734433664,0,6053.464,117.07111517915082,4.268864,0.19160797858997272,0.10180569,0.13486462434775404,0,15.816669652
08515555+1124102,160107004101337,604701128643010816,0,6062.6885,109.75061322075432,4.0696635,0.18800648108255744,-0.0018730164,0.12235397210938834,0,19.7177064755
08522557+1122563,160107004101338,604699513735294464,4,5198.156,204.48511909905457,4.5834193,0.2284636863226009,-0.11964798,0.17538490203614301,0,8.69306071903
08531368+1138354,160107004101339,604712364277317760,0,5581.875,117.00281732495746,4.272139,0.18767379953852587,-0.12309313,0.1136586940451657,0,19.75477117
08530818+1136440,160107004101340,604712158118974080,1,5873.0776,117.3449184510043,4.682076,0.2043831430849664,-0.056010246,0.1237285259222349,0,17.6834811461
08531969+1132235,160107004101341,604707622633508992,0,5136.3745,168.89249474067626,2.5303423,0.304856299245083,-1.173348,0.20698443613633735,0,12.4290496867
08533233+1134330,160107004101342,604707961935241088,260,3983.4214,127.63121924320342,4.628533,0.20933921470080208,0.47971392,0.33427603644534615,16,7.3194424085
08542258+1147290,160107004101343,604740711061513856,0,4815.9727,155.3076125593057,3.5745833,0.21398039577332653,0.25552988,0.14377479618652256,0,11.2437748962
08530745+1133583,160107004101344,604708619065925376,4,4862.852,173.24518264500938,4.621029,0.21349626479683112,0.60179234,0.17087805670496403,0,8.0529934579
08520152+1123226,160107004101345,604700849470046976,0,5449.889,105.16977786836446,4.5113597,0.185055358375108,0.19740486,0.09530759978155853,0,23.6249466551
08521360+1123360,160107004101347,604698345504195456,4,6078.521,174.36264343062493,4.5126176,0.20517564918068254,0.16534424,0.22252515822052213,0,7.34171600611
08533923+1130367,160107004101348,604695734164025216,32,5971.3936,128.97603369304196,4.156451,0.19437225777173445,-0.12736988,0.15016055219909816,0,14.9520808999
08525650+1125224,160107004101349,604705011293412992,0,6131.0327,96.25999166931904,4.0223293,0.19069929728079693,-0.05209875,0.09889491276855578,0,28.1176107796
08524464+1125494,160107004101351,604699445015802624,0,6057.1113,123.10458609756594,4.3048925,0.19378811795014544,0.038981915,0.14700629530685297,0,15.5975045894
08544202+1141250,160107004101352,604727409547154304,0,4819.7466,192.5793333246838,2.7296844,0.258851761755339,-0.10441351,0.14997362798426409,0,12.1226447286
08521558+1123011,160107004101353,604698272489669632,4,5322.2847,251.28469422639466,4.4912615,0.24329009061661536,0.070353985,0.21007985946079802,0,7.38593419617
08544519+1141052,160107004101354,604727203388724480,4,5232.282,181.74877365962593,4.6019745,0.21185757095120197,0.05027151,0.17338285573341664,0,9.5389858455
08530402+1121451,160107004101355,604687006790509568,0,5885.5103,131.54735498894146,4.3275313,0.1959280851829667,0.06487417,0.14452629414661014,0,14.5504323791
08522671+1122298,160107004101356,604697280352300416,4,5767.4814,185.31409818056255,4.4654913,0.21195177063927556,-0.03306961,0.19768577235331652,0,8.66238483841
08524942+1122573,160107004101357,604687212948944768,0,4934.226,113.39152418077293,4.6288214,0.18961326800467743,0.124577045,0.10272063811101934,0,21.0781937746
08542116+1131162,160107004101358,604715559733044992,260,3907.5388,141.67046167323733,4.5577326,0.21501495912194146,0.27486515,0.26105974596275405,16,7.87962185629
08543896+1133002,160107004101359,604716483150357376,260,6528.733,276.3042722231599,4.0477014,0.2451892285859733,,,17,6.6699064945
08535459+1123466,160107004101360,604690752001962880,69,4828.697,217.12119659486297,4.2615623,0.2411545848063843,-0.108691216,0.18866708161736184,0,8.74167439441
08514837+1118077,160107004101361,598692675554477056,4,5792.1914,176.1309985727027,4.4681096,0.20714743193850818,0.14736938,0.20406943337999728,0,7.63091794185
